Date,Open,High,Low,Close,Adj Close,Volume
2023-03-27,7.030000,7.070000,6.800000,7.070000,7.070000,219150
2023-03-28,7.000000,7.100000,6.720000,6.780000,6.780000,201310
2023-03-29,6.870000,6.940000,6.700000,6.870000,6.870000,240510
2023-03-30,6.930000,6.990000,6.550000,6.650000,6.650000,542460
2023-03-31,6.800000,7.200000,6.700000,6.970000,6.970000,483650
2023-04-03,7.000000,7.100000,6.610000,6.700000,6.700000,522750
2023-04-04,6.710000,6.750000,6.550000,6.660000,6.660000,304200
2023-04-05,6.620000,6.650000,6.330000,6.470000,6.470000,257230
2023-04-06,6.500000,6.630000,6.300000,6.550000,6.550000,301920
2023-04-10,6.500000,6.660000,6.400000,6.600000,6.600000,291180
2023-04-11,6.600000,6.630000,6.500000,6.540000,6.540000,212150
2023-04-12,6.750000,6.800000,6.360000,6.510000,6.510000,275560
2023-04-13,6.500000,6.680000,6.500000,6.580000,6.580000,227150
2023-04-14,6.600000,6.620000,6.400000,6.410000,6.410000,303100
2023-04-17,6.490000,6.550000,6.410000,6.490000,6.490000,229490
2023-04-18,6.510000,6.650000,6.410000,6.410000,6.410000,201500
2023-04-19,6.400000,6.500000,6.320000,6.380000,6.380000,219790
2023-04-20,6.370000,6.400000,6.100000,6.110000,6.110000,299150
2023-04-21,6.200000,6.290000,6.130000,6.180000,6.180000,194640
2023-04-24,6.250000,6.260000,5.810000,5.970000,5.970000,418030
2023-04-25,6.000000,6.000000,5.620000,5.640000,5.640000,260950
2023-04-26,5.700000,5.790000,5.600000,5.700000,5.700000,312860
2023-04-27,5.890000,6.060000,5.670000,5.950000,5.950000,438370
2023-04-28,5.950000,6.090000,5.860000,6.000000,6.000000,225960
2023-05-01,6.100000,6.100000,5.850000,6.040000,6.040000,201700
2023-05-02,6.070000,6.090000,5.800000,5.940000,5.940000,165590
2023-05-03,5.900000,6.300000,5.900000,6.030000,6.030000,278310
2023-05-04,6.100000,6.370000,6.000000,6.100000,6.100000,298830
2023-05-05,6.300000,6.670000,6.120000,6.560000,6.560000,573980
2023-05-08,6.460000,6.780000,6.450000,6.500000,6.500000,313960
2023-05-09,6.480000,6.590000,6.200000,6.210000,6.210000,214830
2023-05-10,6.410000,6.410000,6.100000,6.190000,6.190000,210970
2023-05-11,6.180000,6.280000,5.800000,5.860000,5.860000,360120
2023-05-12,5.810000,5.900000,5.500000,5.600000,5.600000,284920
2023-05-15,5.600000,5.960000,5.530000,5.850000,5.850000,300180
2023-05-16,6.000000,6.000000,5.600000,5.720000,5.720000,200910
2023-05-17,5.850000,6.090000,5.630000,6.050000,6.050000,321040
2023-05-18,6.000000,6.300000,6.000000,6.300000,6.300000,432430
2023-05-19,6.300000,6.680000,6.290000,6.680000,6.680000,490780
2023-05-22,6.680000,7.000000,6.570000,6.660000,6.660000,406900
2023-05-23,6.770000,6.800000,6.110000,6.160000,6.160000,322960
2023-05-24,6.140000,6.140000,5.870000,5.940000,5.940000,252410
2023-05-25,6.000000,6.000000,5.520000,5.600000,5.600000,426510
2023-05-26,5.610000,5.700000,5.300000,5.400000,5.400000,563460
2023-05-30,5.590000,5.600000,5.200000,5.290000,5.290000,418630
2023-05-31,5.200000,5.280000,5.000000,5.090000,5.090000,528360
2023-06-01,5.120000,5.600000,4.900000,5.040000,5.040000,445890
2023-06-02,5.300000,5.360000,5.100000,5.150000,5.150000,379170
2023-06-05,5.300000,5.300000,5.070000,5.140000,5.140000,219650
2023-06-06,5.200000,5.400000,5.030000,5.400000,5.400000,381210
2023-06-07,5.500000,5.600000,5.220000,5.360000,5.360000,278880
2023-06-08,5.250000,5.500000,5.150000,5.230000,5.230000,184870
