Date,Open,High,Low,Close,Adj Close,Volume
2023-03-27,19.100000,19.250000,18.600000,18.799999,18.799999,461930
2023-03-28,18.700001,18.900000,18.100000,18.100000,18.100000,404490
2023-03-29,18.100000,18.600000,18.000000,18.100000,18.100000,455990
2023-03-30,18.100000,18.299999,17.600000,17.600000,17.600000,513760
2023-03-31,17.799999,17.900000,17.500000,17.500000,17.500000,514950
2023-04-03,17.500000,17.700001,16.540001,16.900000,16.900000,528320
2023-04-04,17.100000,17.100000,16.500000,16.700001,16.700001,472790
2023-04-05,16.700001,16.799999,15.800000,15.900000,15.900000,524390
2023-04-06,16.000000,16.299999,15.410000,15.800000,15.800000,559810
2023-04-10,15.600000,16.299999,15.500000,16.000000,16.000000,910420
2023-04-11,15.900000,15.930000,15.200000,15.400000,15.400000,575280
2023-04-12,15.500000,15.800000,15.100000,15.200000,15.200000,407490
2023-04-13,15.200000,15.600000,15.100000,15.100000,15.100000,464140
2023-04-14,15.000000,15.300000,14.300000,14.300000,14.300000,653820
2023-04-17,14.500000,15.000000,14.300000,14.800000,14.800000,692000
2023-04-18,15.000000,15.100000,14.300000,14.300000,14.300000,472550
2023-04-19,14.300000,14.500000,14.100000,14.300000,14.300000,320640
2023-04-20,14.100000,14.400000,13.500000,13.500000,13.500000,522760
2023-04-21,13.500000,13.800000,13.400000,13.400000,13.400000,235730
2023-04-24,13.300000,13.500000,12.600000,13.200000,13.200000,513830
2023-04-25,13.000000,13.100000,12.600000,12.800000,12.800000,543750
2023-04-26,13.000000,13.000000,12.700000,12.700000,12.700000,418030
2023-04-27,13.400000,13.600000,12.800000,13.100000,13.100000,1165640
2023-04-28,13.050000,13.700000,13.000000,13.000000,13.000000,525930
2023-05-01,13.100000,13.200000,12.500000,12.900000,12.900000,480550
2023-05-02,12.800000,12.800000,12.000000,12.200000,12.200000,383520
2023-05-03,12.300000,12.500000,12.000000,12.100000,12.100000,388980
2023-05-04,12.100000,12.800000,11.800000,12.500000,12.500000,1128310
2023-05-05,12.800000,13.700000,12.300000,13.400000,13.400000,1698730
2023-05-08,13.500000,13.500000,12.900000,13.200000,13.200000,482180
2023-05-09,13.000000,13.170000,12.400000,12.500000,12.500000,455990
2023-05-10,12.600000,12.900000,11.900000,12.200000,12.200000,710940
2023-05-11,12.000000,12.400000,10.300000,10.400000,10.400000,1410450
2023-05-12,10.700000,11.400000,10.200000,10.500000,10.500000,739150
2023-05-15,10.600000,10.800000,10.200000,10.600000,10.600000,578130
2023-05-16,10.500000,10.800000,10.250000,10.300000,10.300000,580790
2023-05-17,10.400000,10.600000,10.200000,10.500000,10.500000,1332910
2023-05-18,10.500000,10.550000,10.200000,10.500000,10.500000,1129950
