Date,Open,High,Low,Close,Adj Close,Volume
2023-03-27,3.540000,3.575000,3.450000,3.530000,3.410875,953400
2023-03-28,3.500000,3.534000,3.470000,3.510000,3.391549,1261800
2023-03-29,3.500000,3.570000,3.480000,3.530000,3.410875,1412900
2023-03-30,3.540000,3.560000,3.482000,3.510000,3.391549,1308000
2023-03-31,3.550000,3.550000,3.472000,3.520000,3.401212,1125300
2023-04-03,3.490000,3.520000,3.450000,3.450000,3.333574,553800
2023-04-04,3.490000,3.490000,3.370000,3.370000,3.256274,997300
2023-04-05,3.360000,3.390000,3.280000,3.320000,3.207961,956900
2023-04-06,3.310000,3.400000,3.280000,3.370000,3.256274,1173500
2023-04-10,3.380000,3.400000,3.330000,3.390000,3.275599,1195500
2023-04-11,3.370000,3.390000,3.330000,3.360000,3.246611,1179600
2023-04-12,3.360000,3.376000,3.320000,3.350000,3.236949,842600
2023-04-13,3.350000,3.420000,3.310000,3.400000,3.285262,1106100
2023-04-14,3.380000,3.392000,3.300000,3.310000,3.198299,810300
2023-04-17,3.310000,3.420000,3.280000,3.400000,3.285262,1704000
2023-04-18,3.400000,3.417000,3.330000,3.330000,3.217624,1288300
2023-04-19,3.310000,3.335000,3.290000,3.320000,3.207961,433900
2023-04-20,3.280000,3.320000,3.220000,3.220000,3.111336,749600
2023-04-21,3.220000,3.240000,3.210000,3.220000,3.111336,428000
2023-04-24,3.210000,3.230000,3.150000,3.230000,3.120999,1232400
2023-04-25,3.190000,3.210000,3.150000,3.150000,3.043698,1459400
2023-04-26,3.150000,3.167000,3.110000,3.140000,3.034036,1186600
2023-04-27,3.180000,3.390000,3.180000,3.330000,3.217624,2516600
2023-04-28,3.320000,3.360000,3.300000,3.320000,3.207961,336100
2023-05-01,3.310000,3.390000,3.300000,3.340000,3.227287,1618400
2023-05-02,3.300000,3.304000,3.214000,3.270000,3.159649,2155100
2023-05-03,3.290000,3.360000,3.220000,3.240000,3.130661,2093500
2023-05-04,3.240000,3.420000,3.180000,3.350000,3.236949,1508600
2023-05-05,3.420000,3.565000,3.400000,3.550000,3.430200,1662900
2023-05-08,3.580000,3.580000,3.465000,3.530000,3.410875,2192100
2023-05-09,3.480000,3.540000,3.440000,3.450000,3.333574,1768900
