Date,Open,High,Low,Close,Adj Close,Volume
2023-03-27,2.620000,2.640000,2.540000,2.610000,2.610000,6965300
2023-03-28,2.590000,2.600000,2.470000,2.500000,2.500000,10317000
2023-03-29,2.530000,2.590000,2.520000,2.580000,2.580000,8146600
2023-03-30,2.620000,2.620000,2.510000,2.520000,2.520000,8003000
2023-03-31,2.550000,2.590000,2.520000,2.530000,2.530000,6631600
2023-04-03,2.530000,2.580000,2.510000,2.540000,2.540000,7268100
2023-04-04,2.570000,2.570000,2.480000,2.490000,2.490000,6209700
2023-04-05,2.490000,2.520000,2.430000,2.440000,2.440000,7076400
2023-04-06,2.480000,2.630000,2.420000,2.600000,2.600000,11187700
2023-04-10,2.600000,2.770000,2.560000,2.740000,2.740000,18343200
2023-04-11,2.580000,2.610000,2.460000,2.520000,2.520000,22452400
2023-04-12,2.550000,2.580000,2.450000,2.460000,2.460000,9495800
2023-04-13,2.480000,2.520000,2.430000,2.450000,2.450000,11269600
2023-04-14,2.460000,2.540000,2.360000,2.370000,2.370000,15864100
2023-04-17,2.380000,2.510000,2.360000,2.500000,2.500000,11011700
2023-04-18,2.510000,2.530000,2.440000,2.470000,2.470000,8102700
2023-04-19,2.440000,2.470000,2.400000,2.410000,2.410000,5226800
2023-04-20,2.410000,2.440000,2.320000,2.350000,2.350000,8392700
2023-04-21,2.350000,2.380000,2.300000,2.300000,2.300000,7319600
2023-04-24,2.300000,2.370000,2.280000,2.350000,2.350000,9287100
2023-04-25,2.340000,2.340000,2.230000,2.240000,2.240000,8246700
2023-04-26,2.270000,2.270000,2.170000,2.180000,2.180000,10413600
2023-04-27,2.320000,2.430000,2.290000,2.390000,2.390000,19100900
2023-04-28,2.400000,2.430000,2.340000,2.350000,2.350000,8299800
2023-05-01,2.340000,2.350000,2.240000,2.280000,2.280000,7373000
2023-05-02,2.270000,2.300000,2.200000,2.280000,2.280000,7151100
2023-05-03,2.280000,2.450000,2.260000,2.390000,2.390000,11566900
2023-05-04,2.370000,2.640000,2.350000,2.520000,2.520000,15465100
2023-05-05,2.650000,2.800000,2.590000,2.770000,2.770000,18649500
2023-05-08,2.750000,2.790000,2.660000,2.780000,2.780000,10527200
2023-05-09,2.700000,2.870000,2.700000,2.720000,2.720000,11308200
2023-05-10,2.780000,2.850000,2.720000,2.750000,2.750000,9751000
2023-05-11,2.750000,2.760000,2.410000,2.430000,2.430000,17731400
