Date,Open,High,Low,Close,Adj Close,Volume
2023-03-27,26.299999,26.299999,25.500000,25.700001,25.700001,113090
2023-03-28,25.400000,25.700001,24.600000,24.600000,24.600000,128020
2023-03-29,24.799999,25.200001,24.400000,24.400000,24.400000,112780
2023-03-30,24.700001,24.700001,23.799999,23.799999,23.799999,70770
2023-03-31,23.900000,24.200001,23.700001,23.700001,23.700001,94020
2023-04-03,23.600000,23.799999,22.200001,22.900000,22.900000,133050
2023-04-04,22.900000,23.000000,22.200001,22.700001,22.700001,85030
2023-04-05,22.600000,22.600000,21.299999,21.400000,21.400000,182690
2023-04-06,21.500000,22.000000,20.900000,21.500000,21.500000,176050
2023-04-10,21.500000,22.000000,21.000000,21.799999,21.799999,206560
2023-04-11,21.500000,21.500000,20.600000,20.900000,20.900000,167600
2023-04-12,21.000000,21.200001,20.299999,20.500000,20.500000,100970
2023-04-13,20.700001,20.700001,20.100000,20.299999,20.299999,86450
2023-04-14,20.100000,20.400000,19.000000,19.100000,19.100000,209290
2023-04-17,19.100000,20.100000,19.100000,19.799999,19.799999,190720
2023-04-18,20.100000,20.200001,19.100000,19.100000,19.100000,109370
2023-04-19,19.100000,19.400000,18.900000,19.200001,19.200001,48230
2023-04-20,19.100000,19.299999,18.200001,18.200001,18.200001,94020
2023-04-21,18.400000,18.700001,18.200001,18.200001,18.200001,38780
2023-04-24,18.200001,18.200001,17.200001,17.900000,17.900000,83730
2023-04-25,17.400000,17.700001,17.200001,17.400000,17.400000,59710
2023-04-26,17.500000,17.799999,17.200001,17.299999,17.299999,57750
2023-04-27,18.100000,18.400000,17.600000,17.700001,17.700001,236300
2023-04-28,17.900000,18.500000,17.500000,17.500000,17.500000,189340
2023-05-01,17.799999,17.799999,17.000000,17.400000,17.400000,140290
2023-05-02,17.100000,17.299999,16.400000,16.400000,16.400000,139360
2023-05-03,16.600000,17.000000,16.299999,16.400000,16.400000,213540
2023-05-04,16.400000,17.299999,15.900000,16.799999,16.799999,277040
2023-05-05,17.400000,18.299999,16.600000,17.900000,17.900000,316670
2023-05-08,18.000000,18.200001,17.200001,17.799999,17.799999,108040
2023-05-09,17.299999,17.600000,16.600000,16.700001,16.700001,140200
2023-05-10,16.900000,17.200001,16.100000,16.200001,16.200001,133480
2023-05-11,16.200001,16.600000,13.900000,13.900000,13.900000,269420
2023-05-12,14.300000,15.400000,13.900000,14.200000,14.200000,210290
2023-05-15,14.200000,14.600000,13.800000,14.300000,14.300000,131650
2023-05-16,14.300000,14.400000,13.800000,13.900000,13.900000,76280
2023-05-17,14.000000,14.300000,13.800000,14.200000,14.200000,253000
2023-05-18,14.200000,14.200000,13.800000,14.100000,14.100000,115790
2023-05-19,14.200000,15.000000,13.900000,14.500000,14.500000,135490
2023-05-23,15.800000,15.800000,14.100000,14.200000,14.200000,175560
2023-05-24,14.300000,14.500000,14.100000,14.100000,14.100000,62600
2023-05-25,14.200000,14.200000,11.900000,12.100000,12.100000,286780
2023-05-26,12.000000,12.400000,11.300000,12.000000,12.000000,211290
2023-05-29,12.200000,12.600000,11.800000,12.300000,12.300000,58900
2023-05-30,12.000000,12.200000,11.400000,11.600000,11.600000,110770
2023-05-31,11.400000,11.600000,10.800000,11.300000,11.300000,116350
2023-06-01,11.500000,11.600000,11.000000,11.400000,11.400000,68300
2023-06-02,11.500000,11.700000,11.000000,11.400000,11.400000,68230
2023-06-05,11.500000,11.500000,10.400000,10.500000,10.500000,135200
2023-06-06,10.400000,10.400000,9.600000,9.900000,9.900000,292880
2023-06-07,9.800000,10.300000,9.600000,9.800000,9.800000,269950
2023-06-08,9.900000,9.900000,9.200000,9.200000,9.200000,246950
2023-06-09,9.300000,9.400000,8.800000,9.100000,9.100000,167810
2023-06-12,9.200000,9.900000,8.900000,9.700000,9.700000,373940
2023-06-13,9.900000,9.900000,9.200000,9.500000,9.500000,167870
2023-06-14,9.200000,9.500000,8.700000,8.800000,8.800000,125600
2023-06-15,8.700000,8.700000,8.500000,8.600000,8.600000,127400
2023-06-16,8.600000,8.800000,8.300000,8.300000,8.300000,894790
2023-06-19,8.300000,8.500000,8.200000,8.500000,8.500000,59310
2023-06-20,8.300000,8.400000,7.900000,8.000000,8.000000,133980
2023-06-21,7.800000,8.300000,7.700000,8.000000,8.000000,191690
2023-06-22,8.000000,8.000000,7.400000,7.700000,7.700000,310190
2023-06-23,7.200000,7.500000,6.600000,6.800000,6.800000,378170
2023-06-26,7.000000,7.500000,6.700000,6.800000,6.800000,313920
2023-06-27,6.900000,6.900000,6.100000,6.200000,6.200000,251180
2023-06-28,6.100000,6.100000,5.700000,5.800000,5.800000,314770
2023-06-29,5.900000,6.100000,5.700000,5.800000,5.800000,338160
2023-06-30,5.800000,5.800000,5.100000,5.100000,5.100000,595540
2023-07-04,7.500000,7.800000,6.700000,7.300000,7.300000,824090
2023-07-05,7.500000,7.500000,5.900000,6.100000,6.100000,858300
2023-07-06,5.900000,6.000000,5.500000,5.600000,5.600000,343660
2023-07-07,5.600000,6.700000,5.300000,6.200000,6.200000,519110
2023-07-10,6.200000,6.500000,5.700000,6.300000,6.300000,298560
2023-07-11,6.300000,7.900000,6.200000,7.300000,7.300000,722940
2023-07-12,7.500000,8.200000,6.800000,7.400000,7.400000,712780
2023-07-13,7.500000,8.900000,7.100000,8.500000,8.500000,878140
2023-07-14,7.200000,7.200000,5.100000,5.100000,5.100000,2480640
2023-07-17,5.400000,5.400000,4.600000,5.000000,5.000000,953410
2023-07-18,4.900000,5.200000,4.800000,5.200000,5.200000,399410
2023-07-19,5.200000,5.800000,5.100000,5.500000,5.500000,695390
2023-07-20,5.500000,5.600000,5.000000,5.200000,5.200000,617330
2023-07-21,5.200000,5.400000,5.000000,5.100000,5.100000,481510
2023-07-24,5.100000,5.400000,5.100000,5.100000,5.100000,256710
2023-07-25,5.100000,5.200000,5.000000,5.200000,5.200000,166910
2023-07-26,5.200000,5.700000,5.100000,5.300000,5.300000,672260
2023-07-27,5.500000,5.900000,5.300000,5.500000,5.500000,836700
2023-07-28,5.600000,6.300000,5.400000,6.300000,6.300000,908320
2023-07-31,6.800000,7.000000,6.100000,6.500000,6.500000,1060990
2023-08-01,6.400000,6.400000,6.100000,6.200000,6.200000,457180
2023-08-02,6.100000,6.300000,5.900000,6.000000,6.000000,344130
2023-08-03,5.900000,6.600000,5.800000,6.200000,6.200000,570840
2023-08-04,6.300000,6.300000,5.900000,6.000000,6.000000,380020
2023-08-08,6.000000,6.400000,5.800000,6.300000,6.300000,697070
2023-08-09,6.300000,6.500000,5.900000,6.100000,6.100000,721750
2023-08-10,6.100000,6.200000,5.600000,5.700000,5.700000,636320
2023-08-11,5.600000,5.900000,5.200000,5.300000,5.300000,528020
2023-08-14,5.500000,5.500000,5.100000,5.400000,5.400000,221400
2023-08-15,5.300000,5.300000,5.100000,5.300000,5.300000,206150
2023-08-16,5.200000,5.500000,5.100000,5.100000,5.100000,382660
2023-08-17,5.200000,5.800000,5.200000,5.600000,5.600000,564890
2023-08-18,5.600000,6.200000,5.500000,6.200000,6.200000,575960
2023-08-21,6.100000,6.300000,5.500000,5.500000,5.500000,484190
2023-08-22,5.600000,5.700000,5.300000,5.400000,5.400000,286580
2023-08-23,5.400000,5.800000,5.300000,5.600000,5.600000,193410
2023-08-24,5.600000,5.600000,5.200000,5.300000,5.300000,348110
2023-08-25,5.300000,5.400000,5.200000,5.400000,5.400000,146300
2023-08-28,5.300000,5.400000,5.200000,5.300000,5.300000,136720
2023-08-29,5.400000,5.600000,5.200000,5.500000,5.500000,182450
2023-08-30,5.500000,6.500000,5.400000,6.000000,6.000000,1076250
2023-08-31,6.300000,8.800000,6.300000,7.700000,7.700000,3113790
2023-09-01,8.500000,8.600000,7.100000,7.400000,7.400000,1215660
2023-09-05,7.500000,9.800000,7.300000,9.300000,9.300000,1882770
2023-09-06,10.400000,11.300000,9.400000,11.000000,11.000000,1876360
2023-09-07,10.600000,10.700000,9.200000,10.300000,10.300000,1548540
2023-09-08,10.200000,13.100000,10.100000,12.700000,12.700000,2053310
2023-09-11,14.000000,24.299999,13.900000,23.000000,23.000000,3864770
2023-09-12,20.799999,26.000000,17.799999,18.200001,18.200001,3145800
2023-09-13,17.500000,19.000000,14.200000,15.600000,15.600000,2424240
2023-09-14,15.300000,19.900000,15.000000,17.000000,17.000000,2268390
2023-09-15,19.799999,21.200001,17.400000,18.299999,18.299999,3407570
2023-09-18,16.200001,16.600000,15.000000,15.600000,15.600000,1209730
2023-09-19,15.500000,16.799999,13.500000,13.800000,13.800000,1045980
2023-09-20,14.200000,15.200000,11.600000,11.800000,11.800000,1651930
2023-09-21,11.600000,12.200000,10.200000,10.400000,10.400000,1275660
2023-09-22,10.700000,11.600000,10.300000,11.300000,11.300000,1087080
2023-09-25,11.600000,13.800000,11.200000,12.800000,12.800000,1694280
2023-09-26,13.400000,14.300000,11.900000,12.500000,12.500000,1423810
2023-09-27,13.700000,13.800000,11.300000,12.100000,12.100000,1682590
2023-09-28,11.800000,11.800000,10.400000,11.100000,11.100000,1086790
2023-09-29,11.200000,11.300000,10.500000,10.500000,10.500000,489210
2023-10-02,10.200000,11.000000,9.800000,10.200000,10.200000,584260
2023-10-03,10.000000,10.000000,9.100000,9.300000,9.300000,741820
2023-10-04,9.500000,10.700000,9.100000,10.400000,10.400000,926310
2023-10-05,10.800000,10.900000,9.500000,9.800000,9.800000,922470
2023-10-06,9.600000,10.200000,9.500000,9.700000,9.700000,661830
2023-10-10,9.800000,10.700000,9.500000,10.000000,10.000000,685610
2023-10-11,10.100000,10.300000,9.300000,9.500000,9.500000,561790
2023-10-12,9.500000,9.700000,9.000000,9.400000,9.400000,506190
2023-10-13,9.300000,9.700000,9.200000,9.700000,9.700000,414440
2023-10-16,9.500000,10.000000,9.300000,9.500000,9.500000,449070
2023-10-17,9.500000,9.700000,9.200000,9.500000,9.500000,460460
2023-10-18,9.300000,9.400000,8.100000,8.200000,8.200000,702980
2023-10-19,8.000000,8.100000,7.300000,7.300000,7.300000,698320
2023-10-20,7.100000,7.500000,6.800000,7.000000,7.000000,493720
2023-10-23,7.000000,7.200000,6.500000,7.100000,7.100000,696070
2023-10-24,7.100000,8.800000,7.000000,8.700000,8.700000,1228190
2023-10-25,8.500000,8.500000,7.200000,7.500000,7.500000,722030
2023-10-26,7.400000,7.800000,7.000000,7.300000,7.300000,539590
2023-10-27,7.300000,7.400000,6.900000,7.000000,7.000000,379040
2023-10-30,7.200000,7.400000,7.000000,7.100000,7.100000,379380
2023-10-31,7.300000,8.100000,7.200000,7.800000,7.800000,580560
